Model,Width Multiplier,Accuracy,Loss,F1 Score,Avg Inference Time
MobileNet_Modified077,0.77,0.998875,0.007353,0.998875,0.045502
MobileNet_Modified083,0.83,0.99875,0.004388,0.99875,0.045972
MobileNet_Modified093,0.93,0.998625,0.008669,0.998625,0.047931
MobileNet_Modified095,0.95,0.998625,0.007763,0.998625,0.050246
MobileNet_Modified080,0.8,0.9985,0.009321,0.9985,0.045878
MobileNet_Modified096,0.96,0.9985,0.00767,0.9985,0.048065
MobileNet_Modified084,0.84,0.998375,0.008585,0.998375,0.04591
MobileNet_Modified085,0.85,0.998375,0.008358,0.998375,0.046241
MobileNet_Modified091,0.91,0.998375,0.009726,0.998375,0.047472
MobileNet_Modified088,0.88,0.99825,0.009395,0.99825,0.047529
MobileNet_Modified087,0.87,0.998125,0.008268,0.998125,0.046847
MobileNet_Modified098,0.98,0.998125,0.008217,0.998125,0.049323
MobileNet_Modified076,0.76,0.998,0.012879,0.998,0.045074
MobileNet_Modified090,0.9,0.998,0.012234,0.998,0.048257
MobileNet_Modified099,0.99,0.998,0.009118,0.998,0.048704
MobileNet_Basic,1,0.997875,0.011108,0.997875,0.051349
MobileNet_Modified081,0.81,0.997875,0.01222,0.997875,0.046209
MobileNet_Modified075,0.75,0.997625,0.007938,0.997625,0.046057
MobileNet_Modified092,0.92,0.9975,0.012874,0.9975,0.048159
MobileNet_Modified089,0.89,0.997375,0.017011,0.997375,0.047133
MobileNet_Modified082,0.82,0.99725,0.015854,0.99725,0.045647
MobileNet_Modified094,0.94,0.997125,0.013465,0.997125,0.048944
MobileNet_Modified086,0.86,0.99675,0.021023,0.99675,0.047194
MobileNet_Modified097,0.97,0.9965,0.013722,0.9965,0.048344
MobileNet_Modified078,0.78,0.995625,0.019764,0.995625,0.045798
MobileNet_Modified079,0.79,0.98675,0.068099,0.986748,0.045429
